id,problem,problem_name,edge,class,solution,G1 reach,G2 semester,G3 additive,G4 no law change,gates,User,Feasibility,Implementability,Usability,Market,Impact,Measurability,Time,Novelty,Cure,Transfer,round 1 score (max 65),weighted score (max 90)
P1-22,P1,Construction workers and site neighbours,A12->X17,cut the path,Flexible-height barrier panels raised on the downwind side of the day (Choi 2023: resident exposure varies 2.3x with wind direction),fail,pass,pass,pass,out,,,,,,,,,,,,,
P1-23,P1,Construction workers and site neighbours,A12->X17,change the decision,"SMS to registered neighbours before crushing or demolition hours, advising closed windows",pass,pass,pass,pass,through,4,5,4,3,2,2,4,5,3,2,5,46,61
P1-24,P1,Construction workers and site neighbours,A12->X17,change the decision,Demolition and crushing restricted to hours when neighbouring homes are emptiest,fail,pass,"pass, to verify",pass,out,,,,,,,,,,,,,
P1-25,P1,Construction workers and site neighbours,A24->S30,cut the path,Wind-vane-triggered misting that runs only on the downwind boundary,pass,pass,pass,pass,through,3,4,3,4,4,4,5,4,4,4,3,51,70
P1-26,P1,Construction workers and site neighbours,A24->S30,change the decision,"Dust-operation permit tied to the forecast: no crushing, sweeping or demolition on high-wind days",fail,pass,"pass, to verify",pass,out,,,,,,,,,,,,,
P1-27,P1,Construction workers and site neighbours,A24->X17,cut the path,Portable fog cannon repositioned daily to the neighbour side downwind,pass,pass,pass,pass,through,3,4,3,3,3,3,4,4,2,3,3,44,57
P1-28,P1,Construction workers and site neighbours,D09->D18,cut the source,Covered skips and on-site waste separation so demolition fines do not sit in open piles,"pass, to verify",pass,"pass, to verify",pass,through,2,5,4,4,3,2,3,5,1,3,4,44,56
P1-29,P1,Construction workers and site neighbours,D09->D18,cut the source,Recycled aggregate specified in the contract to cut quarry haulage and crushing on site,fail,pass,pass,pass,out,,,,,,,,,,,,,
P1-30,P1,Construction workers and site neighbours,D09->X14,cut the source,Silica-free abrasive and low-silica block specified for the trades that generate the finest dust,fail,pass,pass,pass,out,,,,,,,,,,,,,
P1-31,P1,Construction workers and site neighbours,D09->X14,cut the source,"Off-site prefabrication of cut elements so cutting happens under extraction, not in the open",fail,pass,pass,pass,out,,,,,,,,,,,,,
P1-32,P1,Construction workers and site neighbours,D16->E18,cut receptor time or intake,Midday break window aligned with the dustiest tasks so heat and dust peaks are not stacked on the same hours,"pass, to verify",pass,"pass, to verify",pass,through,4,4,3,3,3,3,3,5,3,2,5,44,59
P1-33,P1,Construction workers and site neighbours,D16->E18,cut receptor time or intake,Shaded rest areas with a filtered-air cabin on site,"pass, to verify",pass,pass,pass,through,5,4,3,4,3,3,4,4,2,1,3,47,56
P1-34,P1,Construction workers and site neighbours,D16->E18,cut receptor time or intake,WBGT-triggered work stops with a site display of the reading,"pass, to verify",pass,"pass, to verify",pass,through,4,4,3,4,3,2,4,5,2,2,5,44,57
P1-35,P1,Construction workers and site neighbours,D16->X14,cut receptor time or intake,Hydration and heart-rate wearables that flag workers in the danger zone (Moohialdin 2022),"pass, to verify",pass,pass,pass,through,4,3,3,3,3,2,4,4,3,1,4,40,52
P1-36,P1,Construction workers and site neighbours,P16->S30,change the decision,Continuous perimeter PM10 monitor with a public dashboard for the site,pass,pass,pass,pass,through,3,5,4,4,3,3,5,5,3,2,4,52,66
P1-37,P1,Construction workers and site neighbours,P16->S30,cut the source,Truck sheeting enforced at the gate: no uncovered load leaves the site,"pass, to verify",pass,"pass, to verify",pass,through,2,5,4,4,3,2,3,5,1,3,5,44,57
P1-38,P1,Construction workers and site neighbours,S16->X14,cut receptor time or intake,Humidity-aware scheduling: on the most humid mornings the heaviest tasks move to the afternoon window,"pass, to verify",pass,pass,pass,through,3,4,3,3,3,2,3,5,3,2,5,40,55
P1-39,P1,Construction workers and site neighbours,S30->X14,cut receptor time or intake,Site-wide dust alert on the PA or phones when any perimeter node crosses the threshold,"pass, to verify",pass,pass,pass,through,3,5,4,4,3,3,5,5,3,2,4,52,66
P1-40,P1,Construction workers and site neighbours,S30->X14,cut receptor time or intake,Marked dust exclusion zones that clear non-essential workers during crushing or sweeping peaks,"pass, to verify",pass,pass,pass,through,3,4,3,3,3,3,3,5,2,2,5,43,56
P1-41,P1,Construction workers and site neighbours,S30->X17,cut receptor time or intake,Contractor-funded air purifiers for the homes on the fence side for the duration of the works,pass,pass,pass,pass,through,5,4,3,4,2,3,4,5,2,1,2,47,55
P1-42,P1,Construction workers and site neighbours,S30->X17,change the decision,Neighbour dashboard and complaint line fed by the perimeter monitors,pass,pass,pass,pass,through,4,5,4,4,2,2,5,5,3,2,4,49,63
P1-43,P1,Construction workers and site neighbours,S30->X17,cut the path,Planning setback between the site fence and the nearest homes for future sites,fail,fail,fail,pass,out,,,,,,,,,,,,,
P1-44,P1,Construction workers and site neighbours,X14->E18,cut receptor time or intake,Baseline and periodic spirometry for workers in high-dust trades,pass,pass,"pass, to verify",pass,through,4,4,3,3,2,2,5,4,1,1,5,43,52
P1-45,P1,Construction workers and site neighbours,X14->E19,cut receptor time or intake,"Silicosis surveillance register for cutters, chippers and crushers",fail,pass,"pass, to verify",pass,out,,,,,,,,,,,,,
P1-46,P1,Construction workers and site neighbours,X14->E18,cut receptor time or intake,"Smoking cessation programme on site, since smoking multiplies dust harm",pass,pass,pass,pass,through,3,4,3,3,2,2,3,3,1,1,5,37,46
P1-47,P1,Construction workers and site neighbours,X14->E19,change the decision,Medical surveillance requirement written into the visa medical for dust trades,fail,fail,fail,fail,out,,,,,,,,,,,,,
P1-48,P1,Construction workers and site neighbours,X14->E18,change the decision,"Dust and silica training in the workers' own languages, with a short film for the site induction",pass,pass,pass,pass,through,4,5,4,4,3,2,3,5,1,2,5,46,57
P1-49,P1,Construction workers and site neighbours,A12->S30,change the decision,Contractor dust-performance bond released against fenceline readings,fail,fail,"pass, to verify",pass,out,,,,,,,,,,,,,
P1-50,P1,Construction workers and site neighbours,A12->P16,change the decision,Tender scoring that awards points for a measured dust plan,fail,fail,"pass, to verify",pass,out,,,,,,,,,,,,,
P1-51,P1,Construction workers and site neighbours,P16->S30,change the decision,Public league table of sites by fenceline PM10,pass,pass,pass,pass,through,3,4,3,4,2,3,5,4,3,2,5,46,61
P1-52,P1,Construction workers and site neighbours,A24->S30,change the decision,Drone dust patrol by the municipality over active sites on windy days,fail,fail,"pass, to verify",pass,out,,,,,,,,,,,,,
P1-53,P1,Construction workers and site neighbours,A12->P16,change the decision,Reduced permit fees for sites that run continuous monitoring,fail,fail,"pass, to verify",pass,out,,,,,,,,,,,,,
P1-54,P1,Construction workers and site neighbours,S30->X14,change the decision,Worker hotline for dust violations in three languages,pass,pass,pass,pass,through,4,5,4,3,2,2,3,5,2,2,5,44,57
P1-55,P1,Construction workers and site neighbours,A12->S30,change the decision,Dust records linked to the contractor's insurance premium,fail,fail,"pass, to verify",pass,out,,,,,,,,,,,,,
P1-56,P1,Construction workers and site neighbours,S30->X17,change the decision,"Resident app to report dust clouds with a geotagged photo, routed to the site and the municipality",pass,pass,pass,pass,through,4,4,3,4,2,2,4,4,3,2,4,42,56
P1-57,P1,Construction workers and site neighbours,A12->X14,change the decision,Dust-control competency certificate required for site supervisors,fail,fail,"pass, to verify",pass,out,,,,,,,,,,,,,
P1-58,P1,Construction workers and site neighbours,P16->S30,change the decision,"Site dust score printed as a QR on the hoarding, updated daily from the monitors",pass,pass,pass,pass,through,3,5,4,4,3,2,4,5,4,2,5,47,64
P1-59,P1,Construction workers and site neighbours,D09->X14,change the decision,Hoarding-side realtime display of PM10 so passers-by and workers see the number,pass,pass,pass,pass,through,3,5,4,4,3,2,4,5,3,2,4,47,61
P1-60,P1,Construction workers and site neighbours,A12->X14,cut receptor time or intake,Shift-end shower and clothes-change facility so dust does not travel home,"pass, to verify",pass,"pass, to verify",pass,through,4,4,3,4,2,2,2,4,1,2,3,38,47
P2-01,P2,Street food vendors,A23->P31,cut the source,"LPG conversion of charcoal grills at licensed stalls, with a rebate on the licence fee","pass, to verify",pass,"pass, to verify",pass,through,4,4,3,4,4,5,5,4,2,5,3,55,72
P2-02,P2,Street food vendors,A23->P31,cut the source,Induction or electric grill at stalls with a power hookup,"pass, to verify",pass,pass,pass,through,4,4,3,4,3,5,5,4,3,5,3,54,73
P2-03,P2,Street food vendors,A23->P31,cut the source,Low-smoke charcoal briquettes or coconut-shell charcoal in place of lump charcoal,pass,pass,pass,pass,through,4,5,4,5,4,3,4,5,2,4,4,53,69
P2-04,P2,Street food vendors,A23->P31,cut the source,"Chimney starter for lighting charcoal, no lighter fluid",pass,pass,pass,pass,through,4,5,4,5,4,2,4,5,1,3,5,50,63
P2-05,P2,Street food vendors,A23->P31,cut the source,Power hookups installed at fixed vending spots so electric cooking is possible,fail,pass,pass,pass,out,,,,,,,,,,,,,
P2-06,P2,Street food vendors,A23->P31,cut the source,Pellet grill or gas griddle for items now cooked over charcoal,"pass, to verify",pass,pass,pass,through,3,4,3,4,3,4,5,4,2,4,3,50,65
P2-07,P2,Street food vendors,A23->P31,cut the source,Solar-battery cart powering an induction plate at outdoor markets,pass,pass,pass,pass,through,3,3,3,3,3,4,5,3,5,5,4,46,70
P2-08,P2,Street food vendors,A23->S29,cut the path,"Canopy hood over the grill with a fan and grease filter, exhaust above head height",pass,pass,pass,pass,through,4,4,3,3,4,4,5,4,2,3,3,51,64
P2-09,P2,Street food vendors,A23->S29,cut the path,Extraction hood with an electrostatic precipitator on the exhaust,pass,pass,pass,pass,through,3,3,3,3,3,4,5,3,3,3,3,46,61
P2-10,P2,Street food vendors,A23->S29,cut the path,Water-scrubber hood for charcoal exhaust,pass,pass,pass,pass,through,3,3,2,3,3,4,5,3,3,3,3,44,59
P2-11,P2,Street food vendors,A23->S29,cut the path,Exhaust stack that discharges 3 m above the stall roof,pass,pass,pass,pass,through,3,4,3,4,3,3,5,4,1,3,3,47,58
P2-12,P2,Street food vendors,A23->S29,cut the path,"Stall orientation rule: grill on the leeward edge, vendor upwind",pass,pass,pass,pass,through,3,5,4,3,4,3,4,5,3,2,5,50,65
P2-13,P2,Street food vendors,A23->S29,cut the path,"Shared ventilated cooking kiosk at a market, several vendors under one hood",fail,pass,pass,pass,out,,,,,,,,,,,,,
P2-14,P2,Street food vendors,A23->S29,cut the path,Wind wall or screen between the grill and the vendor's station,pass,pass,pass,pass,through,3,5,4,3,4,2,4,5,2,2,5,47,60
P2-15,P2,Street food vendors,A23->X16,cut receptor time or intake,"Vendor station moved to the upwind side of the grill, serving from the front",pass,pass,pass,pass,through,4,5,4,3,4,3,4,5,3,2,5,51,66
P2-16,P2,Street food vendors,A23->X16,cut receptor time or intake,Rotation between grilling and serving so no one stands at the grill a full shift,pass,pass,pass,pass,through,3,5,4,3,4,3,3,5,2,2,5,48,61
P2-17,P2,Street food vendors,A23->X16,cut receptor time or intake,"FFP2 mask during charcoal lighting and fanning, the highest-peak minutes",pass,pass,pass,pass,through,3,5,4,2,4,2,3,5,1,1,2,44,50
P2-18,P2,Street food vendors,A23->X16,cut receptor time or intake,Helper handles charcoal lighting and ash while wearing a respirator,pass,pass,pass,pass,through,3,5,4,3,4,2,3,5,1,1,2,45,51
P2-19,P2,Street food vendors,A23->X16,cut receptor time or intake,Shorter charcoal shifts with a break away from the stall each hour,pass,pass,pass,pass,through,3,4,3,3,3,2,3,5,1,2,4,40,50
P2-20,P2,Street food vendors,D24->P31,change the decision,Clean fuel as a condition of vending licence renewal,fail,fail,"pass, to verify",pass,out,,,,,,,,,,,,,
P2-21,P2,Street food vendors,D24->P31,change the decision,Vendors clustered in ventilated food courts or designated zones away from traffic,fail,fail,pass,pass,out,,,,,,,,,,,,,
P2-22,P2,Street food vendors,D24->P31,change the decision,Cap on charcoal stalls per street or market,fail,fail,"pass, to verify",pass,out,,,,,,,,,,,,,
P2-23,P2,Street food vendors,D24->P31,change the decision,Charcoal lighting restricted to set hours before the crowd arrives,pass,pass,pass,pass,through,3,5,4,3,4,2,4,5,3,3,5,47,64
P2-24,P2,Street food vendors,D24->P31,change the decision,Minimum spacing between grills at a market so plumes do not stack,pass,pass,pass,pass,through,3,5,4,4,4,2,4,5,2,3,5,48,63
P2-25,P2,Street food vendors,P31->S29,cut the source,Grill with controlled airflow and a lid so combustion is cleaner and fumes are trapped,pass,pass,pass,pass,through,3,4,3,4,4,3,5,4,4,4,4,48,68
P2-26,P2,Street food vendors,P31->S29,cut the source,Catalytic afterburner on the grill exhaust,pass,pass,pass,pass,through,2,3,2,3,2,3,5,3,4,4,3,39,58
P2-27,P2,Street food vendors,P31->S29,cut the source,"Lid-on cooking for items that allow it, cutting open-flame time",pass,pass,pass,pass,through,3,5,4,4,4,2,4,5,2,3,5,48,63
P2-28,P2,Street food vendors,P31->S29,cut the source,"Pre-cooked items finished on the grill briefly, cutting minutes over charcoal",pass,pass,pass,pass,through,3,5,4,4,4,2,4,5,2,3,3,48,61
P2-29,P2,Street food vendors,S29->X16,cut receptor time or intake,Personal PM monitor clipped at the stall with a visible alert,pass,pass,pass,pass,through,3,5,4,4,3,2,5,5,3,2,4,49,63
P2-30,P2,Street food vendors,S29->X16,cut the path,Fan-based dilution blowing across the grill away from the vendor,pass,pass,pass,pass,through,3,5,4,4,4,3,4,5,2,2,2,51,61
P2-31,P2,Street food vendors,S29->X16,cut the path,Stall layout with the grill at the edge and the vendor inside a partly enclosed counter,pass,pass,pass,pass,through,3,4,3,3,4,3,4,4,3,2,5,45,60
P2-32,P2,Street food vendors,S29->X16,cut receptor time or intake,Customer queue positioned upwind of the grill so the crowd is not in the plume,pass,pass,pass,pass,through,3,5,4,4,4,1,3,5,2,2,5,43,56
P2-33,P2,Street food vendors,X16->E18,cut receptor time or intake,Respiratory symptom screening at licence renewal with referral,fail,pass,"pass, to verify",pass,out,,,,,,,,,,,,,
P2-34,P2,Street food vendors,X16->E18,cut receptor time or intake,Vendor health survey and free lung-function check at a market,pass,pass,pass,pass,through,4,4,3,4,2,2,5,4,1,1,5,44,53
P2-35,P2,Street food vendors,X16->E18,change the decision,Training session for vendors on smoke exposure and the cheap fixes,pass,pass,pass,pass,through,4,5,4,4,3,2,3,5,1,2,5,46,57
P2-36,P2,Street food vendors,X16->E18,cut receptor time or intake,CO alarm at charcoal stalls in semi-enclosed spots,pass,pass,pass,pass,through,4,5,4,4,4,2,4,5,1,1,5,49,58
P2-37,P2,Street food vendors,A23->P31,change the decision,"Clean-stall label displayed to customers, awarded after a measurement",pass,pass,pass,pass,through,4,4,3,4,4,3,5,4,4,3,5,49,68
P2-38,P2,Street food vendors,A23->S29,change the decision,Municipality rebate for hood installation at licensed stalls,fail,fail,"pass, to verify",pass,out,,,,,,,,,,,,,
P2-39,P2,Street food vendors,A23->P31,change the decision,Vendor cooperative bulk-buying LPG and cylinders,"pass, to verify",pass,pass,pass,through,3,4,3,4,4,4,4,4,3,4,3,49,66
P2-40,P2,Street food vendors,S29->X16,change the decision,Air-quality display facing customers at the stall,pass,pass,pass,pass,through,3,5,4,4,3,2,5,5,3,2,4,49,63
P2-41,P2,Street food vendors,A23->P31,change the decision,Event-organiser rule: electric hookups and no charcoal at organised markets and festivals,"pass, to verify",pass,"pass, to verify",pass,through,3,4,3,4,4,4,5,4,2,5,3,51,68
P2-42,P2,Street food vendors,A23->S29,change the decision,Hood retrofit built and installed by the engineering student group at one market as the pilot,pass,pass,pass,pass,through,4,4,3,3,3,4,5,4,3,3,3,50,65
P2-43,P2,Street food vendors,A23->S29,change the decision,Filter-cleaning subscription so hoods keep working after installation,pass,pass,pass,pass,through,3,4,3,4,4,3,3,4,3,3,3,44,59
P2-44,P2,Street food vendors,P31->S29,change the decision,Measurement campaign ranking stall types by PM2.5 so the worst are fixed first,pass,pass,pass,pass,through,3,5,4,5,3,3,5,5,3,2,5,53,68
P2-45,P2,Street food vendors,D24->P31,change the decision,"Trained smoke marshal at markets who checks fuel, hoods and spacing",pass,pass,pass,pass,through,3,4,3,4,3,2,3,5,3,3,5,41,58
P2-46,P2,Street food vendors,A23->P31,change the decision,Clean cooking zone pilot at one market with LPG and hoods for every stall,"pass, to verify",pass,pass,pass,through,4,4,3,4,4,5,5,4,3,5,3,55,74
P2-47,P2,Street food vendors,A23->X16,cut receptor time or intake,Nose-and-mouth shield at the grill face for the minutes of flare-up,pass,pass,pass,pass,through,2,5,4,2,3,1,3,5,2,1,5,39,50
P2-48,P2,Street food vendors,A23->S29,cut the path,Enclosed food truck with roof extraction and filter instead of an open stall,fail,pass,pass,pass,out,,,,,,,,,,,,,
P2-49,P2,Street food vendors,D24->P31,change the decision,Vendor spacing and orientation drawn into the market floor plan,pass,pass,pass,pass,through,3,5,4,4,4,2,4,5,2,3,5,48,63
P2-50,P2,Street food vendors,S29->X16,cut receptor time or intake,"Two-station stall: hot station for 20 minutes, cold station for 20, alternating",pass,pass,pass,pass,through,3,5,4,3,4,3,3,5,3,2,5,48,63
P3-01,P3,School gate and idling,A05->P05,change the decision,School idle-free policy with signage at the gate and in the parent handbook,pass,pass,pass,pass,through,4,5,4,4,3,3,4,5,1,4,5,51,66
P3-02,P3,School gate and idling,A05->P05,change the decision,Engine-off pledge signed by parents and drivers at the start of term,pass,pass,pass,pass,through,4,5,4,4,3,2,4,5,1,3,5,48,61
P3-03,P3,School gate and idling,A05->S20,change the decision,Staff-enforced engine-off in the queue with a verbal reminder at the window (Ryan 2013: 4.11 to 0.99 ug/m3 at the most-bused school),pass,pass,pass,pass,through,4,5,4,3,3,4,3,5,2,4,5,51,68
P3-04,P3,School gate and idling,A05->S20,change the decision,Student idle marshals with tally sheets at the gate,pass,pass,pass,pass,through,4,5,4,3,2,3,3,5,2,4,5,47,64
P3-05,P3,School gate and idling,A05->P05,change the decision,Camera plus plate reading that sends a letter home to idling families,"pass, to verify",pass,"pass, to verify",pass,through,2,3,2,4,2,3,3,3,3,4,4,36,54
P3-06,P3,School gate and idling,A05->P05,change the decision,Idle-free zone painted on the road surface at the drop-off,pass,pass,pass,pass,through,3,5,4,5,3,2,4,5,1,3,5,48,61
P3-07,P3,School gate and idling,A05->P05,change the decision,Municipal anti-idling rule for school zones with an air-quality rationale (Abu Dhabi Police's Dh300 covers unattended engines only),fail,fail,pass,fail,out,,,,,,,,,,,,,
P3-08,P3,School gate and idling,A05->S07,change the decision,"Countdown display at the gate showing minutes since arrival, engine-off asked at one minute",pass,pass,pass,pass,through,3,4,3,4,3,3,3,5,4,4,5,44,65
P3-09,P3,School gate and idling,A05->P05,change the decision,"Engine-off training for hired family drivers, who do most Abu Dhabi school runs",pass,pass,pass,pass,through,4,5,4,4,3,4,4,5,2,4,5,54,71
P3-10,P3,School gate and idling,A05->S08,change the decision,"Bus operator contract clause: no idling over one minute at the gate, checked by telematics","pass, to verify",pass,pass,pass,through,4,4,3,4,3,4,3,4,2,4,5,47,64
P3-11,P3,School gate and idling,A07->D14,cut the path,School Street: the gate road closed to cars at drop-off and pick-up (Mayor of London 2021: NO2 down up to 23 %),"pass, to verify",pass,pass,pass,through,4,3,2,3,3,5,3,4,3,5,2,45,63
P3-12,P3,School gate and idling,A07->D14,cut the path,Park-and-stride: drop-off point 300 m away with a marshalled walking route,pass,pass,pass,pass,through,3,4,3,3,3,4,3,5,2,4,2,46,60
P3-13,P3,School gate and idling,A07->S20,cut the path,Staggered drop-off and pick-up by grade to shorten the queue,pass,pass,pass,pass,through,4,5,4,4,3,4,3,5,2,4,5,52,69
P3-14,P3,School gate and idling,A07->S20,cut the path,"One-way rolling drop-off loop, no stopping, staff open the doors",pass,pass,pass,pass,through,4,4,3,4,3,4,3,5,2,4,5,48,65
P3-15,P3,School gate and idling,A07->S20,cut the path,Drop-off bays relocated away from the pedestrian gate,"pass, to verify",pass,pass,pass,through,3,4,3,4,3,4,3,4,2,3,3,46,59
P3-16,P3,School gate and idling,A07->S20,cut the path,Kiss-and-ride lane with attendants so cars keep moving,pass,pass,pass,pass,through,4,4,3,4,3,4,3,5,2,4,5,48,65
P3-17,P3,School gate and idling,A07->S20,cut the path,Pedestrian entrance moved to the side away from the queue,fail,pass,pass,pass,out,,,,,,,,,,,,,
P3-18,P3,School gate and idling,A07->S20,cut receptor time or intake,"Shaded, cooled parent waiting area so parents do not wait in cars with the AC on",pass,pass,pass,pass,through,5,4,3,4,3,4,3,4,3,4,3,48,65
P3-19,P3,School gate and idling,A07->S20,cut the path,Covered walkway from the drop-off bay to the door,"pass, to verify",pass,pass,pass,through,3,4,3,4,3,2,3,4,1,2,4,40,50
P3-20,P3,School gate and idling,A07->S20,cut the path,Hedge or tree screen between the queue lane and the gate,pass,fail,pass,pass,out,,,,,,,,,,,,,
P3-21,P3,School gate and idling,A07->D14,change the decision,"Just-in-time pick-up app: parents are called when the child reaches the gate, so nobody queues with the engine on (car half only; rescored 04:10 after the pre-mortem: relocates the wait, dismissal only, gate effect under sensor noise, exists as iSchoolRide PickupLine)",pass,pass,pass,pass,through,5,4,3,4,4,2,2,4,2,4,3,41,56
P3-22,P3,School gate and idling,A07->D14,change the decision,"Numbered pick-up tags and a call board, the low-tech version of the app (car half only, rescored 04:10 with the app)",pass,pass,pass,pass,through,4,5,4,4,3,2,2,5,2,4,3,44,59
P3-23,P3,School gate and idling,A07->D14,cut the path,Remote pick-up points at a nearby car park with staff walking the children over,pass,pass,pass,pass,through,3,4,3,3,3,4,3,5,2,4,2,46,60
P3-24,P3,School gate and idling,A07->D14,cut the path,Walking bus with adult marshals from a collection point,pass,pass,pass,pass,through,3,4,3,3,2,3,4,5,2,4,5,44,61
P3-25,P3,School gate and idling,A15->S21,cut receptor time or intake,Portable HEPA cleaners in classrooms (Simona 2025: PM2.5 39.9 % lower over the year),pass,pass,pass,pass,through,5,5,4,5,3,2,5,5,1,1,2,52,58
P3-26,P3,School gate and idling,A15->X10,cut receptor time or intake,MERV13 filter upgrade on the school's air handling units,pass,pass,pass,pass,through,4,4,3,5,3,2,5,4,1,1,3,46,53
P3-27,P3,School gate and idling,A15->X10,cut receptor time or intake,Positive pressure in gate-side classrooms with filtered supply air,"pass, to verify",pass,pass,pass,through,4,3,2,5,3,2,5,3,2,1,3,41,50
P3-28,P3,School gate and idling,A15->S21,cut the path,Sealing window and door gaps on the gate-facing façade,pass,pass,pass,pass,through,3,5,4,5,3,2,4,5,1,1,4,48,56
P3-29,P3,School gate and idling,A15->S21,cut receptor time or intake,"Purifiers only in the gate-facing classrooms, the cheapest targeting",pass,pass,pass,pass,through,4,5,4,5,4,2,5,5,2,1,2,52,60
P3-30,P3,School gate and idling,A15->X10,cut receptor time or intake,Filter change schedule driven by a classroom PM sensor,pass,pass,pass,pass,through,3,5,4,4,3,2,5,5,3,1,3,49,60
P3-31,P3,School gate and idling,A18->X10,change the decision,Siting rule for new schools: at least 300 m from an arterial,fail,fail,"pass, to verify",fail,out,,,,,,,,,,,,,
P3-32,P3,School gate and idling,A18->X10,change the decision,Gate placement rule away from the arterial for new schools,fail,fail,"pass, to verify",fail,out,,,,,,,,,,,,,
P3-33,P3,School gate and idling,A18->X10,cut receptor time or intake,Room allocation: the youngest classes furthest from the gate and the road,pass,pass,pass,pass,through,4,5,4,5,3,3,4,5,2,2,5,52,65
