src,dst,sign,weight,share,tier,scope,citation,doi_or_url,fetched,evidence
D03,P27,+,3,,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"Service station evaporative NMVOC is calculated directly from petrol consumed or sold for land transport, about 66,973 t of petrol in 2015, times an emission factor of 2,880 kg per kt."
P28,S02,+,1,,2,uae,"Hamdan 2021, Physicochemical characterization and seasonal variations of PM10 aerosols in a harsh environment",10.3389/fenvs.2021.666678,yes,"At a Sharjah roadside site V averaged 60 ng/m3 and Ni 40 ng/m3 in PM10 with a 0.77 correlation, V and Ni are markers of heavy oil combustion, and the heavy oil combustion is emitted from ships at Sharjah port a few miles from the site."
D12,P28,+,3,,2,uae,"Hamdan 2021, Physicochemical characterization and seasonal variations of PM10 aerosols in a harsh environment",10.3389/fenvs.2021.666678,yes,"V and Ni are known to originate from heavy oil combustion used in ships, and heavy oil combustion is emitted from ships at Sharjah port located a few miles from the sampling site."
P28,P20,+,2,,2,uae,"Hamdan 2021, Physicochemical characterization and seasonal variations of PM10 aerosols in a harsh environment",10.3389/fenvs.2021.666678,yes,"The V and Ni heavy oil combustion markers measured in PM10 were attributed to ships burning heavy oil at Sharjah port, so heavy fuel oil combustion is a component of the shipping emission stream."
D03,P29,+,3,0.74,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"Road transport contributed 74 % of total CO emissions in Abu Dhabi in 2015, 441,056 t of 594,813 t, and CO emissions are mostly emitted near the main road network."
P29,S06,+,3,,2,abu_dhabi,"Teixido 2021, The influence of COVID-19 preventive measures on the air quality in Abu Dhabi",10.1007/s11869-021-01000-2,yes,"Ambient CO fell 25.8 % during the 2020 lockdown when mobility dropped 36.2 %, and CO and C6H6 had similar reductions and patterns indicating a common source, both considerably influenced by road transport emissions in urban environments."
P29,S24,+,2,,2,abu_dhabi,"Teixido 2021, The influence of COVID-19 preventive measures on the air quality in Abu Dhabi",10.1007/s11869-021-01000-2,yes,"Ambient benzene fell 19.9 % from 1.6 to 1.3 ug/m3 during the lockdown with the same pattern as CO, and both are considerably influenced by road transport emissions in urban environments."
S24,S11,+,3,,2,gulf,"Pfannerstill 2019, Shipborne measurements of total OH reactivity around the Arabian Peninsula and its role in ozone chemistry",10.5194/acp-19-11501-2019,yes,"Total OH reactivity reached 32.8 s-1 over the Arabian Gulf in air from petroleum facilities, and the ratio of NOx to VOC attributed OH reactivity was favourable for ozone formation almost all around the Arabian Peninsula."
P14,S24,+,3,,2,gulf,"Pfannerstill 2019, Shipborne measurements of total OH reactivity around the Arabian Peninsula and its role in ozone chemistry",10.5194/acp-19-11501-2019,yes,"The maximum OH reactivity of 32.8 s-1 occurred over the Arabian Gulf when air originated from large petroleum extraction and processing facilities, with alkanes and alkenes from that industry each about 9 % of total OH reactivity."
P20,S24,+,2,,2,gulf,"Pfannerstill 2019, Shipborne measurements of total OH reactivity around the Arabian Peninsula and its role in ozone chemistry",10.5194/acp-19-11501-2019,yes,"The permanent influence of heavy maritime traffic over the Red Sea, Gulf of Aden and Gulf of Oman resulted in median OH sinks of 7.9 to 8.5 s-1, with NOx and aromatics from ship traffic about 10 % each in the Suez Canal."
S25,S02,+,3,,2,global,"Matthaios 2022, Quantifying factors affecting contributions of roadway exhaust and non-exhaust emissions to ambient PM10-2.5 and PM2.5-0.2",10.1016/j.scitotenv.2022.155368,yes,"Road dust resuspension was the biggest non-exhaust contributor to roadway coarse particles, accounting for 29.6 % of PM10-2.5 mass in greater Boston."
S25,S01,+,2,,2,global,"Chen 2023, Contributions of non-tailpipe emissions to near-road PM2.5 and PM10: a chemical mass balance study",10.1016/j.envpol.2023.122283,yes,"Chemical mass balance at two Los Angeles near-road sites showed the dominance of resuspended dust in both PM2.5 (23 to 33 %) and PM10 (32 to 53 %)."
S25,S18,+,3,,2,global,"Chen 2023, Contributions of non-tailpipe emissions to near-road PM2.5 and PM10: a chemical mass balance study",10.1016/j.envpol.2023.122283,yes,"Resuspended dust was the dominant source in near-road PM10 at 32 to 53 % and near-road PM2.5 at 23 to 33 %, larger than tailpipe exhaust at 15 to 21 %."
D03,S25,+,2,,2,global,"Matthaios 2022, Quantifying factors affecting contributions of roadway exhaust and non-exhaust emissions to ambient PM10-2.5 and PM2.5-0.2",10.1016/j.scitotenv.2022.155368,yes,"Number of vehicles and rush hour periods had statistically significant effects on road dust resuspension, with relative importance of 12.5 to 42.1 % for vehicle number in the additive models."
S14,S25,+,2,,2,global,"Matthaios 2022, Quantifying factors affecting contributions of roadway exhaust and non-exhaust emissions to ambient PM10-2.5 and PM2.5-0.2",10.1016/j.scitotenv.2022.155368,yes,"Wind speed and relative humidity were significantly associated with both coarse and fine road dust resuspension and had a combined relative importance of 38 % and 48 %."
S16,S25,-,2,,2,global,"Matthaios 2022, Quantifying factors affecting contributions of roadway exhaust and non-exhaust emissions to ambient PM10-2.5 and PM2.5-0.2",10.1016/j.scitotenv.2022.155368,yes,"Relative humidity together with wind speed was significantly associated with coarse and fine road dust resuspension, combined relative importance 38 % and 48 %, higher humidity suppressing resuspension."
S15,S27,+,3,,2,gulf,"Alahmad 2024, Combined impact of heat and dust on diabetes hospitalization in Kuwait",10.1136/bmjdrc-2024-004320,yes,"Kuwait combines harsh summer heat with intense dust storms, and the study defined hot-dusty days from meteorological temperature and daily sampled dust concentrations from 2017 to 2019."
S12,S27,+,3,,2,gulf,"Alahmad 2024, Combined impact of heat and dust on diabetes hospitalization in Kuwait",10.1136/bmjdrc-2024-004320,yes,"Dust pollution days identified from elemental analysis of daily samples were combined with temperature to define the hot-dusty days used in the interaction models."
S27,E08,+,2,,2,gulf,"Alahmad 2024, Combined impact of heat and dust on diabetes hospitalization in Kuwait",10.1136/bmjdrc-2024-004320,yes,"Compared with mild non-dusty days at 33 degC and 0 ug/m3, hot-dusty days raised the relative risk of unplanned diabetic admissions from 1.11 at 42 degC and 85 ug/m3 to 1.36 at 42 degC and 150 ug/m3."
S27,E10,+,2,,2,gulf,"Alahmad 2024, Combined impact of heat and dust on diabetes hospitalization in Kuwait",10.1136/bmjdrc-2024-004320,yes,"Each year 282 excess diabetic admissions were attributed to hot days and about 114 excess admissions per 10 ug/m3 of dust, with combined hot-dusty conditions exacerbating the hospitalization risk further."
X08,X13,+,3,,2,global,"Dons 2019, Transport most likely to cause air pollution peak exposures in everyday life",10.1016/J.ATMOSENV.2019.06.035,yes,"The short time in transport (8 % of the day) was responsible for 32.7 % of black carbon peaks and 24.1 % of measurements in transport were peak exposure against 0.9 % while sleeping, in 2,053 personal monitoring days."
X13,X06,+,2,,2,global,"Dons 2019, Transport most likely to cause air pollution peak exposures in everyday life",10.1016/J.ATMOSENV.2019.06.035,yes,"Participants were in peak concentrations 5.5 % of the time but this contributed 21.0 % of their total black carbon exposure, with 2.8 peaks per person per day averaging 4,206 ng/m3."
X13,X06,+,3,,2,global,"Jeong 2018, Characteristics of peak concentrations of black carbon encountered by elementary school children",10.1016/j.scitotenv.2018.04.399,yes,"Among forty Seoul children aged 10 to 12, peaks above the time-weighted average contributed 60 % of total daily black carbon exposure, and transportation and cooking led to frequent peaks that disproportionately contributed to daily integrated exposure."
X04,X13,+,2,,2,global,"Jeong 2018, Characteristics of peak concentrations of black carbon encountered by elementary school children",10.1016/j.scitotenv.2018.04.399,yes,"Trips by diesel vehicle produced frequent long-duration peaks above the 95th percentile, walking produced brief high peaks from passing or idling vehicles, and peaks during commuting showed relatively high exposure intensity on weekdays."
P30,X13,+,2,,2,global,"Jeong 2018, Characteristics of peak concentrations of black carbon encountered by elementary school children",10.1016/j.scitotenv.2018.04.399,yes,"Cooking led to frequent peak occurrences, charbroiling meat incurred sustained peaks as intense as trips by diesel vehicles, and cooking peaks accounted for an elevated residential contribution to daily integrated exposure."
D19,D07,+,2,,3,abu_dhabi,"EAD 2021, Greenhouse Gas Inventory and Projections for Abu Dhabi Emirate",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/EAD-GHG-Executive-Summary-Report-EN-final.pdf,yes,"Anthropogenic GHG emissions have been driven largely by economic and population growth and the increasing demand for water and energy, with emissions proportional to production in combined electricity and water generation from 2010 to 2018."
D22,P01,+,3,,2,global,"Tong 2025, Further improvement in London's air quality demands more than the ULEZ",10.1038/s44407-025-00030-9,yes,"As more vehicles complied with higher emission standards vehicle-related NOx emissions decreased, explaining the efficacy of ULEZ1, with a 39.1 % traffic-site NOx increment reduction in central London after the non-compliant share fell from 39.1 % to 25.8 % in 2019."
A08,D22,-,3,,2,global,"Tong 2025, Further improvement in London's air quality demands more than the ULEZ",10.1038/s44407-025-00030-9,yes,"After ULEZ1 the average proportion of non-compliant vehicles in central London fell from 39.1 % in March 2019 to 29.3 % in April 2019 and 25.8 % by September 2019, then from 23.1 % in January 2020 to 7.4 % later."
D22,S03,+,2,,2,global,"Tong 2025, Further improvement in London's air quality demands more than the ULEZ",10.1038/s44407-025-00030-9,yes,"Around 39 % of vehicles entering central London were non-compliant before ULEZ1, and the drop in that share coincided with 19.6 % lower NO2 at traffic sites in the three months after implementation, while the 2023 expansion with fewer non-compliant vehicles (2.7 to 4.7 % fall) showed no detectable NO2 impact."
A19,P01,-,3,,2,global,"Jezek Brecelj 2025, On-road vehicle emissions measurements show a significant reduction in black carbon and NOx in Euro 6c and 6d diesel cars",10.5194/acp-25-9113-2025,yes,"Real driving emissions (RDE) regulations lower NOx emission factors by 86 % relative to pre-RDE Euro 6b diesel-powered cars, measured by on-road chasing of a representative European sample in 2011, 2017 and 2023."
A19,D22,-,1,,2,global,"Jezek Brecelj 2025, On-road vehicle emissions measurements show a significant reduction in black carbon and NOx in Euro 6c and 6d diesel cars",10.5194/acp-25-9113-2025,yes,"Lorentz curve analysis reveals a growing influence of high-emission super-emitters on total fleet emissions, and the on-road chasing method is a robust tool for super-emitter identification and fleet-wide emissions monitoring."
A19,P01,-,1,,2,global,"O'Driscoll 2018, Real world CO2 and NOx emissions from 149 Euro 5 and 6 diesel, gasoline and hybrid passenger cars",10.1016/j.scitotenv.2017.11.271,yes,"PEMS testing found average urban NOx from Euro 6 diesel cars of 0.44 g/km, 11 times the 0.04 g/km of gasoline cars, so discrimination on the basis of Euro standard is arbitrary and incentives should promote vehicles with the lowest real-world emissions."
A19,P01,-,1,,3,uae,"GSO 2025, Implementation guideline for new vehicle emission limits in the UAE",https://www.gso.org.sa/wp-content/uploads/2025/04/Implementation-guideline-for-new-vehicle-emission-limits-in-the-UAE.pdf,yes,"UAE passenger cars and light trucks from 2030 model year must meet Euro 6D with in-service conformity plus an added RDE procedure per ECE R168 at a NOx conformity factor of 1.43, and heavy-duty vehicles require PEMS real-world emission tests for type approval from 2030 model year."
A01,A19,+,2,,3,uae,"GSO 2025, Implementation guideline for new vehicle emission limits in the UAE",https://www.gso.org.sa/wp-content/uploads/2025/04/Implementation-guideline-for-new-vehicle-emission-limits-in-the-UAE.pdf,yes,"The UAE emission standard schedule moves from Euro 6B for new imports from 1 January 2026 to Euro 6D for 2030 model year, and the Euro 6D stage is the one that adds in-service conformity with the RDE procedure and PEMS testing."
A20,S22,-,3,,2,global,"Adar 2015, Adopting clean fuels and technologies on school buses: pollution and health impacts in children",10.1164/rccm.201410-1924OC,yes,"Fine and ultrafine particle concentrations measured on 597 trips on 188 school buses were 10 to 50 % lower on buses using ultralow-sulfur diesel, diesel oxidation catalysts and/or closed crankcase ventilation."
A20,S08,-,3,,2,global,"Adar 2015, Adopting clean fuels and technologies on school buses: pollution and health impacts in children",10.1164/rccm.201410-1924OC,yes,"Ultrafine particle concentrations on buses were 10 to 50 % lower with ULSD, DOCs and/or CCVs adopted between 2005 and 2009."
A20,E09,-,2,,2,global,"Adar 2015, Adopting clean fuels and technologies on school buses: pollution and health impacts in children",10.1164/rccm.201410-1924OC,yes,"ULSD adoption was associated with 8 % lower absenteeism (95 % CI -16.0 to -0.7 %) among 275 bus riders, and extrapolated to the US population changed fuels and technologies likely reduced absenteeism by more than 14 million days per year."
A20,E05,+,2,,2,global,"Adar 2015, Adopting clean fuels and technologies on school buses: pollution and health impacts in children",10.1164/rccm.201410-1924OC,yes,"ULSD adoption was associated with greater changes in FVC and FEV1 of 0.02 and 0.01 L per year and reduced exhaled nitric oxide by 16 %, with DOCs and CCVs also associated with improved FVC growth."
A20,E04,-,2,,2,global,"Adar 2015, Adopting clean fuels and technologies on school buses: pollution and health impacts in children",10.1164/rccm.201410-1924OC,yes,"Reduced FeNO, improved lung function and lower absenteeism after clean bus technology showed stronger associations among patients with asthma, and DOC and CCV benefits were primarily restricted to children with persistent asthma."
A20,P02,-,2,,1,global,"Bursey 2025, Health, economic, and environmental impacts of electric school bus adoption: a scoping review",10.1016/j.scitotenv.2025.179843,yes,"A PRISMA scoping review of 13 studies establishes that emission reductions, potential health benefits and economic savings are possible when electric school buses replace diesel school buses, while knowledge gaps remain on in-cabin levels after electrification."
A04,A20,+,1,,1,global,"Bursey 2025, Health, economic, and environmental impacts of electric school bus adoption: a scoping review",10.1016/j.scitotenv.2025.179843,yes,"Children riding diesel school buses are exposed to diesel pollutants, and electrification efforts in high-income countries rely on external funding programmes, so the bus fleet that is provided determines the technology standard it can be held to."
X01,E16,+,3,,1,global,"Orellano 2024, Long-term exposure to particulate matter and mortality: an update of the WHO global air quality guidelines systematic review and meta-analysis",10.3389/ijph.2024.1607683,yes,"Pooled relative risk for lung cancer mortality was 1.093 (95 % CI 1.053 to 1.135) per 10 ug/m3 PM2.5 from 26 studies and 1.101 (1.052 to 1.152) per 10 ug/m3 PM10 from 17 studies, both rated high certainty."
X01,E16,+,3,,1,global,"Chen 2020, Long-term exposure to PM and all-cause and cause-specific mortality: a systematic review and meta-analysis",10.1016/j.envint.2020.105974,yes,"Across 107 studies there is clear evidence that both PM2.5 and PM10 were associated with increased mortality from lung cancer, with high certainty of evidence for PM2.5 on all assessed endpoints except respiratory mortality."
X02,E16,+,2,,1,global,"Hamra 2015, Lung cancer and exposure to nitrogen dioxide and traffic: a systematic review and meta-analysis",10.1289/ehp.1408882,yes,"The meta-estimate across 20 studies for the change in lung cancer associated with a 10 ug/m3 increase in NO2 was 4 % (95 % CI 1 to 8 %), and 3 % (1 to 5 %) per 10 ug/m3 NOx."
X18,E16,+,1,,1,global,"Hamra 2015, Lung cancer and exposure to nitrogen dioxide and traffic: a systematic review and meta-analysis",10.1289/ehp.1408882,yes,"Forest plots for measures of traffic volume and distance to roadways largely suggest a modest increase in lung cancer risk, and residential proximity to roadways suggests increased risk attributable partly to air pollution exposure."
X02,E16,+,2,,1,global,"Boogaard 2022, Long-term exposure to traffic-related air pollution and selected health outcomes: a systematic review and meta-analysis",10.1016/j.envint.2022.107262,yes,"The HEI panel review of 353 studies found high or moderate-to-high confidence in an association between long-term exposure to traffic-related air pollution and lung cancer mortality."
X02,E17,+,2,,1,global,"Boogaard 2022, Long-term exposure to traffic-related air pollution and selected health outcomes: a systematic review and meta-analysis",10.1016/j.envint.2022.107262,yes,"The HEI panel found high or moderate-to-high confidence in an association between long-term exposure to traffic-related air pollution and asthma onset in adults, alongside asthma onset in children."
X02,E17,+,2,,2,global,"Liu 2021, Long-term exposure to low-level air pollution and incidence of asthma: the ELAPSE project",10.1183/13993003.03099-2020,yes,"Among 98,326 adults in Denmark and Sweden with 1,965 incident asthma cases, the hazard ratio was 1.17 (95 % CI 1.10 to 1.25) per 10 ug/m3 NO2, unchanged in two-pollutant models with PM2.5, with no evidence of a threshold."
S07,E17,+,2,,2,global,"Liu 2021, Long-term exposure to low-level air pollution and incidence of asthma: the ELAPSE project",10.1183/13993003.03099-2020,yes,"Adult asthma incidence hazard ratio was 1.15 (95 % CI 1.08 to 1.23) per 0.5 x 10-5 m-1 black carbon, and the BC estimate remained unchanged in two-pollutant models with PM2.5."
X01,E17,+,1,,2,global,"Liu 2021, Long-term exposure to low-level air pollution and incidence of asthma: the ELAPSE project",10.1183/13993003.03099-2020,yes,"Adult asthma incidence hazard ratio was 1.22 (95 % CI 1.04 to 1.43) per 5 ug/m3 PM2.5 in single-pollutant models, but the PM2.5 estimate attenuated to unity in two-pollutant models with NO2 or BC."
X02,E17,+,1,,2,global,"Jacquemin 2015, Ambient air pollution and adult asthma incidence in six European cohorts (ESCAPE)",10.1289/ehp.1408206,yes,"Across 23,704 participants with 1,257 incident cases, adult asthma incidence showed a borderline association with NO2, adjusted OR 1.10 (95 % CI 0.99 to 1.21) per 10 ug/m3, and OR 1.10 per 5,000 vehicles per day on the nearest road."
P14,S24,+,3,,2,gulf,"Bourtsoukidis 2019, Non-methane hydrocarbon (C2 to C8) sources and sinks around the Arabian Peninsula",10.5194/acp-19-7209-2019,yes,"C2 to C8 hydrocarbons reached several ppb over the Arabian Gulf with a maximum of 166.5 ppb of alkanes, and an i-pentane to n-pentane ratio of 0.93 over the Gulf is indicative of widespread oil and gas activities."
P20,S24,+,2,,2,gulf,"Bourtsoukidis 2019, Non-methane hydrocarbon (C2 to C8) sources and sinks around the Arabian Peninsula",10.5194/acp-19-7209-2019,yes,"International shipping contributes to ambient C3 to C8 hydrocarbon concentrations but not to ethane, and the i-pentane to n-pentane ratio of 1.71 in the Suez Canal is a characteristic signature of ship emissions."
S24,S04,+,3,,2,gulf,"Pfannerstill 2019, Shipborne measurements of total OH reactivity around the Arabian Peninsula and its role in ozone chemistry",10.5194/acp-19-11501-2019,yes,"In the Arabian Gulf large OH reactivity from VOCs due to oil and gas sources together with NOx from marine traffic led to a regime of ozone production 97 % of the time, and oil and gas VOCs could be a relevant factor for the extremely high ozone concentrations."
P27,S24,+,1,,2,global,"Jo 2001, Exposure to methyl tertiary butyl ether and benzene in close proximity to service stations",10.1080/10473289.2001.10464339,yes,"Residents in neighbourhoods near service stations are exposed to elevated ambient MTBE and benzene levels (outdoor benzene mean 1.7 ppb) compared with those living farther away, and service stations were the major contributor to residents' MTBE exposure."
P16,S25,+,2,,2,global,"Jeong 2025, Spatial variation of resuspended particulate matter in urban environments and real-world assessment of street sweeping",10.1016/j.envpol.2025.126165,yes,"Two years of mobile measurements found nearby construction and renovation activities were major contributors to resuspended PM on local streets, with resuspended PM notably higher on local streets than on major roads."
S25,S20,+,1,,2,global,"Jeong 2025, Spatial variation of resuspended particulate matter in urban environments and real-world assessment of street sweeping",10.1016/j.envpol.2025.126165,yes,"Because resuspended PM was highest on local streets, school neighbourhoods in residential areas and open spaces may experience acute exposure to road dust PM."
S25,P04,+,2,,1,global,"Amato 2010, A review on the effectiveness of street sweeping, washing and dust suppressants as urban PM control methods",10.1016/j.scitotenv.2010.04.025,yes,"Road dust emissions from paved roads arise from particles already deposited and easily resuspended by traffic-generated turbulence, carrying heavy metals from vehicle wear particles and coarse PM2.5-10, and sweeping, water flushing and chemical suppressants are the measures used against them."
# STATUS: complete, 68 edges, 26 sources
