src,dst,sign,weight,share,tier,scope,citation,doi_or_url,fetched,evidence
S04,E10,+,1,,1,global,"Zheng 2021, Short-term O3 NO2 SO2 asthma ED visits",10.1016/j.envint.2021.106435,yes,"Pooled RR 1.008 (1.005 to 1.011) per 10 ug/m3 8-hour or 24-hour O3 for asthma emergency visits and admissions, certainty high."
S05,E10,+,1,,1,global,"Zheng 2021, Short-term O3 NO2 SO2 asthma ED visits",10.1016/j.envint.2021.106435,yes,"Pooled RR 1.010 (1.001 to 1.020) per 10 ug/m3 24-hour SO2 for asthma emergency visits and admissions, certainty moderate."
E04,E10,+,3,,1,global,"Zheng 2021, Short-term O3 NO2 SO2 asthma ED visits",10.1016/j.envint.2021.106435,yes,"Asthma exacerbation is defined and measured in the review as emergency room visits and hospital admissions, 43 studies on ERVs and 25 on HAs."
S01,E09,+,2,,1,global,"Orellano 2023, Air pollution and restricted activity days",10.1186/s12940-023-00979-8,yes,"Restricted activity days measured as work-loss or school-loss days RR 1.0166 (1.0050 to 1.0283) per 10 ug/m3 PM2.5 in time-series studies, no significant effect for NO2 or O3."
S02,E09,+,2,,1,global,"Orellano 2023, Air pollution and restricted activity days",10.1186/s12940-023-00979-8,yes,"School-loss and work-loss days RR 1.0191 (1.0058 to 1.0326) per 10 ug/m3 PM10."
S01,E12,+,2,,1,global,"Orellano 2023, Air pollution and restricted activity days",10.1186/s12940-023-00979-8,yes,"Restricted activity days including work-loss days rise 1.66 percent per 10 ug/m3 PM2.5, the review frames the outcome as one that translates into economic cost."
X06,E05,+,3,,2,global,"Gauderman 2004, Air pollution and lung development 10 to 18",10.1056/NEJMoa040610,yes,"Over 8 years deficits in FEV1 growth were associated with NO2, acid vapour, PM2.5 and elemental carbon, and the share of 18-year-olds with FEV1 below 80 percent predicted was 7.9 percent at highest PM2.5 versus 1.6 percent at lowest, 4.9 times higher."
S18,E05,+,3,,2,global,"Gauderman 2007, Traffic exposure and lung development",10.1016/S0140-6736(07)60037-3,yes,"Children living within 500 m of a freeway had an 81 mL deficit (95% CI 143 to 18) in 8-year FEV1 growth versus children at least 1500 m away, independent of regional air quality."
S07,E05,+,2,,2,global,"Gauderman 2004, Air pollution and lung development 10 to 18",10.1056/NEJMoa040610,yes,"Elemental carbon exposure was associated with deficits in 8-year FEV1 growth (P=0.007) after adjustment for confounders."
X01,E12,+,2,,3,gulf,"Meo 2025, PM deaths and DALYs in GCC 1990 to 2021",10.12669/pjms.41.10.12523,yes,"GBD 2021 data show PM2.5 and PM10 attributable death and DALY rates for respiratory, cardiovascular, diabetes and cancer in the six GCC states including the UAE, diabetes the only cause with rising attributable deaths and DALYs 1990 to 2021."
X01,E08,+,1,,3,gulf,"Meo 2025, PM deaths and DALYs in GCC 1990 to 2021",10.12669/pjms.41.10.12523,yes,"Diabetes mellitus was the only PM-attributable cause whose deaths and DALYs increased in the GCC region from 1990 to 2021."
X01,E03,+,2,0.144,3,gulf,"Fallahzadeh 2022, Chronic respiratory disease burden NAME GBD 2019",10.1186/s12931-022-02187-3,yes,"Of total age-standardised chronic respiratory disease deaths in North Africa and Middle East, 14.4 percent were attributable to ambient particulate matter pollution, and the UAE had the region's highest age-standardised CRD incidence at 1412.7 per 100000."
X02,E01,+,2,,1,global,"Boogaard 2022, HEI long-term TRAP and health",10.1016/j.envint.2022.107262,yes,"HEI panel of 353 studies found high or moderate-to-high confidence in an association between long-term traffic-related air pollution and all-cause, circulatory, IHD and lung cancer mortality."
X02,E02,+,2,,1,global,"Boogaard 2022, HEI long-term TRAP and health",10.1016/j.envint.2022.107262,yes,"High or moderate-to-high confidence in an association between long-term TRAP exposure and circulatory and ischaemic heart disease mortality."
S18,E04,+,3,,1,global,"Boogaard 2022, HEI long-term TRAP and health",10.1016/j.envint.2022.107262,yes,"High or moderate-to-high confidence in an association between long-term TRAP and asthma onset in children and adults and acute lower respiratory infections in children, respiratory effects in children the most studied outcome with 118 studies."
S18,E03,+,2,,1,global,"Boogaard 2022, HEI long-term TRAP and health",10.1016/j.envint.2022.107262,yes,"High or moderate-to-high confidence in an association between long-term TRAP exposure and acute lower respiratory infections in children."
S18,E07,+,1,,1,global,"Boogaard 2022, HEI long-term TRAP and health",10.1016/j.envint.2022.107262,yes,"Birth outcomes were the second most studied TRAP outcome with 86 studies, and the confidence in the evidence was rated moderate, low or very low."
X01,E01,+,3,,3,uae,"Gibson 2012, Environmental risks to public health in the UAE",10.1289/ehp.1104064,yes,"Ambient air pollution is the leading environmental contributor to premature mortality in the UAE, about 650 annual deaths (95% CI 140 to 1400), estimated by an attributable fraction approach for the Environment Agency Abu Dhabi."
X01,E10,+,2,,3,uae,"Gibson 2012, Environmental risks to public health in the UAE",10.1289/ehp.1104064,yes,"Ambient air pollution is among the risk factors leading to more than 10000 annual health care facility visits in the UAE."
X01,E01,+,3,,3,uae,"World Bank 2022, Global health cost of PM2.5 air pollution",https://documents1.worldbank.org/curated/en/455211643691938459/pdf/The-Global-Health-Cost-of-PM-2-5-Air-Pollution-A-Case-for-Action-Beyond-2021.pdf,yes,"Table A.1 and A.2 give the UAE for 2019 a population-weighted ambient PM2.5 of 43.7 ug/m3, 3252 deaths from ambient PM2.5, zero from household air pollution, and 35 PM2.5 deaths per 100000 population."
X01,E12,+,3,,3,uae,"World Bank 2022, Global health cost of PM2.5 air pollution",https://documents1.worldbank.org/curated/en/455211643691938459/pdf/The-Global-Health-Cost-of-PM-2-5-Air-Pollution-A-Case-for-Action-Beyond-2021.pdf,yes,"Table A.2 gives the UAE 25075 years lived with disability from PM2.5 in 2019, 271 per 100000 population."
X01,E11,+,3,,3,uae,"World Bank 2022, Global health cost of PM2.5 air pollution",https://documents1.worldbank.org/curated/en/455211643691938459/pdf/The-Global-Health-Cost-of-PM-2-5-Air-Pollution-A-Case-for-Action-Beyond-2021.pdf,yes,"Table A.3 gives the UAE health damage cost of ambient PM2.5 in 2019 as US$ 14748 million (US$ 23917 million PPP), equivalent to 3.5 percent of GDP."
E10,E11,+,2,0.13,3,uae,"World Bank 2022, Global health cost of PM2.5 air pollution",https://documents1.worldbank.org/curated/en/455211643691938459/pdf/The-Global-Health-Cost-of-PM-2-5-Air-Pollution-A-Case-for-Action-Beyond-2021.pdf,yes,"Table A.3 gives the morbidity cost share of the UAE PM2.5 health damage cost as 13 percent, the remaining 87 percent is mortality."
S12,E01,+,1,,1,global,"Tobías 2025, Desert dust mortality and morbidity meta-analysis",10.1016/j.envint.2025.109277,yes,"Across 71 time-series and case-crossover studies all-cause mortality RR 1.0121 (1.0045 to 1.0199) on dust days versus non-dust days, certainty moderate."
S12,E02,+,1,,1,global,"Tobías 2025, Desert dust mortality and morbidity meta-analysis",10.1016/j.envint.2025.109277,yes,"Cardiovascular mortality RR 1.0252 (1.0100 to 1.0407) and cardiovascular morbidity RR 1.0094 (1.0014 to 1.0174) on dust days, respiratory mortality not increased."
S12,E10,+,2,,1,global,"Tobías 2025, Desert dust mortality and morbidity meta-analysis",10.1016/j.envint.2025.109277,yes,"Respiratory morbidity RR 1.0693 (1.0188 to 1.1224) on dust days versus non-dust days."
S12,E10,+,2,,2,gulf,"Thalib 2012, Dust storms and asthma admissions in Kuwait",10.1016/j.scitotenv.2012.06.082,yes,"Dust storm days (PM10 above 200 ug/m3, 33.6 percent of days over 5 years) raised same-day asthma admissions RR 1.07 (1.02 to 1.12) and all respiratory admissions RR 1.06 (1.04 to 1.08), particularly among children."
S12,E04,+,2,,2,gulf,"Thalib 2012, Dust storms and asthma admissions in Kuwait",10.1016/j.scitotenv.2012.06.082,yes,"Dust storm days were associated with a 7 percent increase in emergency asthma admissions in Kuwait, an effect particularly evident among children."
S12,E01,+,1,,2,gulf,"Al-Taiar 2014, Dust storms and mortality in Kuwait",10.1007/s00484-012-0626-7,yes,"Dust storm days showed no significant same-day association with respiratory (RR 0.96), cardiovascular (RR 0.98) or all-cause mortality (RR 0.99, 0.97 to 1.00) in Kuwait over 5 years, so the local crustal dust effect on short-term mortality is small."
S12,E01,+,1,,2,gulf,"Achilleos 2019, Acute air pollution mortality Kuwait 17 years",10.1016/j.envint.2019.01.072,yes,"Over 73748 natural deaths 2000 to 2016 the mortality rate ratio was 1.02 (1.00 to 1.04) on dust storm days and 1.01 (0.99 to 1.03) on low-visibility days, higher and significant among non-Kuwaiti men."
X12,E01,+,1,,2,gulf,"Achilleos 2019, Acute air pollution mortality Kuwait 17 years",10.1016/j.envint.2019.01.072,yes,"Higher and statistically significant mortality estimates on poor air quality days were observed among non-Kuwaiti men and non-Kuwaiti adolescents and adults, the outdoor migrant workforce."
S01,E10,+,2,,2,gulf,"Albahar 2022, PM2.5 and respiratory admissions Kuwait",10.3390/ijerph19105998,yes,"Each 10 ug/m3 PM2.5 gave a 1.61 percent (0.87 to 2.35) rise in respiratory admissions over a 5-day lag, and a 10 ug/m3 reduction would avert 391 admissions a year of which 262 are children under 15."
S01,E03,+,2,,2,gulf,"Colonna 2023, Source-specific PM2.5 and respiratory hospitalisation Kuwait",10.1016/j.envres.2023.117070,yes,"Respiratory hospitalisation rose 0.16 percent (0.05 to 0.27) per 1 ug/m3 total PM2.5, the dust source factor carried the significant risk (0.16 percent) while the traffic factor showed no effect."
S12,E08,+,2,,2,gulf,"Alahmad 2024, Heat and dust and diabetes hospitalisation Kuwait",10.1136/bmjdrc-2024-004320,yes,"Every 10 ug/m3 increase in dust gave about 114 excess unplanned diabetes admissions a year (95% CI 11 to 219), and hot-dusty days raised the relative risk to 1.36 at 42 degC and 150 ug/m3."
S15,E10,+,2,,2,gulf,"Alahmad 2024, Heat and dust and diabetes hospitalisation Kuwait",10.1136/bmjdrc-2024-004320,yes,"Hot days accounted for an excess of 282 diabetic admissions a year (95% CI -14 to 473), and heat and dust jointly exacerbated admission risk."
X01,E07,+,2,,1,global,"Ghosh 2021, PM2.5 and adverse perinatal outcomes",10.1371/journal.pmed.1003718,yes,"Per 10 ug/m3 ambient PM2.5 birth weight fell 22 g, low birth weight risk rose 11 percent (1.11, 1.07 to 1.16) and preterm birth risk rose 12 percent (1.12, 1.06 to 1.19), with 35.7 percent of all preterm births globally attributable to total PM2.5."
X01,E08,+,1,,1,global,"Azizi 2025, PM and type 2 diabetes meta-analysis",10.1080/09603123.2024.2391993,yes,"Across 46 studies long-term PM2.5 and PM10 exposure was significantly associated with type 2 diabetes prevalence and incidence, mechanisms via systemic inflammation and oxidative stress."
X06,E06,-,2,,1,global,"Thompson 2023, Air pollution and human cognition",10.1016/j.scitotenv.2022.160234,yes,"Moderate certainty support for detrimental associations between PM2.5, NOx and PM10 and executive function, especially working memory, in children, across 86 studies."
S01,E09,+,2,,2,global,"Hales 2016, School absences and PM2.5 quasi-experiment",10.1097/MD.0000000000002916,yes,"After controlling for seasonal, weekday, holiday and weather effects with a control district, a 10 ug/m3 increase in PM2.5 was associated with about a 1.7 percent increase in daily elementary school absences."
S07,E14,+,3,,1,global,"Bond 2013, Bounding the role of black carbon in the climate system",10.1002/jgrd.50171,yes,"Industrial-era climate forcing of black carbon through all mechanisms is +1.1 W/m2 (90 percent bounds +0.17 to +2.1), making black carbon the second most important human emission for climate forcing after CO2, with diesel engines a source whose elimination would produce net cooling."
# STATUS: complete, 56 edges, 25 sources
